"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"e:\Web\Ecommerce-Clothing-Store\src\Containers\UserDetails\UserDetails.css", "CSS", 0, 110, 2, 9, 121
"e:\Web\Ecommerce-Clothing-Store\src\Containers\UserDetails\UserDetails.js", "JavaScript", 80, 0, 1, 15, 96
"e:\Web\Ecommerce-Clothing-Store\src\Containers\logout\logout.js", "JavaScript", 8, 0, 0, 2, 10
"e:\Web\Ecommerce-Clothing-Store\src\Hoc\Wrapper.css", "CSS", 0, 33, 0, 2, 35
"e:\Web\Ecommerce-Clothing-Store\src\Hoc\Wrapper.js", "JavaScript", 42, 0, 1, 4, 47
"e:\Web\Ecommerce-Clothing-Store\src\firebase.js", "JavaScript", 115, 0, 25, 15, 155
"e:\Web\Ecommerce-Clothing-Store\src\index.css", "CSS", 0, 16, 0, 2, 18
"e:\Web\Ecommerce-Clothing-Store\src\index.js", "JavaScript", 25, 0, 5, 5, 35
"e:\Web\Ecommerce-Clothing-Store\src\routes.js", "JavaScript", 61, 0, 2, 8, 71
"e:\Web\Ecommerce-Clothing-Store\src\serviceWorker.js", "JavaScript", 98, 0, 31, 13, 142
"e:\Web\Ecommerce-Clothing-Store\src\setupTests.js", "JavaScript", 1, 0, 4, 1, 6
"e:\Web\Ecommerce-Clothing-Store\src\store\actions.js", "JavaScript", 7, 0, 0, 0, 7
"e:\Web\Ecommerce-Clothing-Store\src\store\reducer.js", "JavaScript", 70, 0, 0, 7, 77
"Total", "-", 4090, 2455, 363, 638, 7546
